sno.,State Code,County Code,Site Num,Date Local,NO2 Units,CO Units,O3 Units,SO2 Units,Address,country,city,state,NO2AQI,COAQI,O3AQI,SO2AQI,AQI,allergy
0,4,13,3002,1/1/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,46,25,34,13,118,0
1,4,13,3002,1/1/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,46,25,34,13,118,0
2,4,13,3002,1/1/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,46,25,34,13,118,0
3,4,13,3002,1/1/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,46,25,34,13,118,0
4,4,13,3002,1/2/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,34,26,27,4,91,0
5,4,13,3002,1/2/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,34,26,27,4,91,0
6,4,13,3002,1/2/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,34,26,27,4,91,0
7,4,13,3002,1/2/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,34,26,27,4,91,0
8,4,13,3002,1/3/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,48,28,14,16,106,0
9,4,13,3002,1/3/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,48,28,14,16,106,0
10,4,13,3002,1/3/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,48,28,14,16,106,0
11,4,13,3002,1/3/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,48,28,14,16,106,0
12,4,13,3002,1/4/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,72,34,28,23,157,1
13,4,13,3002,1/4/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,72,34,28,23,157,1
14,4,13,3002,1/4/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,72,34,28,23,157,1
15,4,13,3002,1/4/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,72,34,28,23,157,1
16,4,13,3002,1/5/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,58,42,10,21,131,1
17,4,13,3002,1/5/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,58,42,10,21,131,1
18,4,13,3002,1/5/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,58,42,10,21,131,1
19,4,13,3002,1/5/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,58,42,10,21,131,1
20,4,13,3002,1/6/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,71,41,21,24,157,1
21,4,13,3002,1/6/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,71,41,21,24,157,1
22,4,13,3002,1/6/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,71,41,21,24,157,1
23,4,13,3002,1/6/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,71,41,21,24,157,1
24,4,13,3002,1/7/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,41,40,20,30,131,1
25,4,13,3002,1/7/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,41,40,20,30,131,1
26,4,13,3002,1/7/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,41,40,20,30,131,1
27,4,13,3002,1/7/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,41,40,20,30,131,1
28,4,13,3002,1/8/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,39,57,17,26,139,1
29,4,13,3002,1/8/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,39,57,17,26,139,1
30,4,13,3002,1/8/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,39,57,17,26,139,1
31,4,13,3002,1/8/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,39,57,17,26,139,1
32,4,13,3002,1/9/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,35,32,19,19,105,0
33,4,13,3002,1/9/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,35,32,19,19,105,0
34,4,13,3002,1/9/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,35,32,19,19,105,0
35,4,13,3002,1/9/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,35,32,19,19,105,0
36,4,13,3002,1/10/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,68,42,13,30,153,1
37,4,13,3002,1/10/2000,Parts per billion,Parts per million,Parts per million,Parts per billion,1645 E ROOSEVELT ST-CENTRAL PHOENIX STN,Maricopa,Phoenix,Arizona,68,42,13,30,153,1
